Word,Rank,Frequency
attempted,1587,20
dignity,1588,20
watching,1589,20
musical,1590,20
endure,1591,20
principal,1592,20
decidedly,1593,20
learn,1594,20
birth,1595,19
third,1596,19
twelve,1597,19
paying,1598,19
alike,1599,19
exquisite,1600,19
certainty,1601,19
peculiar,1602,19
declined,1603,19
ay,1604,19
honourable,1605,19
fifty,1606,19
hurt,1607,19
suited,1608,19
frightened,1609,19
forty,1610,19
conveyed,1611,19
chosen,1612,19
kindly,1613,19
instance,1614,19
mamma,1615,19
alteration,1616,19
shocked,1617,19
visitors,1618,19
sought,1619,19
preference,1620,19
forgiven,1621,19
nearer,1622,19
excited,1623,19
failed,1624,19
christmas,1625,19
visitor,1626,19
described,1627,19
belong,1628,19
goodness,1629,19
happiest,1630,19
forgot,1631,19
conceal,1632,19
houses,1633,19
condition,1634,19
memory,1635,19
forgive,1636,19
wants,1637,19
gives,1638,19
blind,1639,19
died,1640,19
shop,1641,19
nephew,1642,19
suspicions,1643,19
existence,1644,19
divided,1645,19
_you_,1646,19
church,1647,19
desired,1648,19
middletons,1649,19
autumn,1650,19
horror,1651,19
violent,1652,19
ignorance,1653,19
wonderful,1654,19
decision,1655,19
doubted,1656,19
thorough,1657,19
hawkins,1658,19
apparent,1659,19
bless,1660,18
force,1661,18
resemblance,1662,18
intentions,1663,18
design,1664,18
extreme,1665,18
concluded,1666,18
sorrow,1667,18
imprudence,1668,18
inclined,1669,18
tall,1670,18
reserved,1671,18
fate,1672,18
explained,1673,18
pains,1674,18
hitherto,1675,18
carrying,1676,18
bye,1677,18
beloved,1678,18
liberal,1679,18
seeming,1680,18
precious,1681,18
censure,1682,18
communicated,1683,18
colour,1684,18
encouraged,1685,18
effects,1686,18
carry,1687,18
independent,1688,18
ventured,1689,18
uncertain,1690,18
ceremony,1691,18
higher,1692,18
interval,1693,18
syllable,1694,18
wondered,1695,18
heaven,1696,18
escaped,1697,18
awkward,1698,18
lane,1699,18
weymouth,1700,18
forming,1701,18
variety,1702,18
harvilles,1703,18
mortification,1704,18
supported,1705,18
gallantry,1706,18
conclusion,1707,18
unless,1708,18
)--,1709,18
cruel,1710,18
allenham,1711,18
whisper,1712,18
invite,1713,18
proposal,1714,18
takes,1715,18
silly,1716,18
sincerely,1717,18
thanks,1718,18
uneasy,1719,17
resist,1720,17
learnt,1721,17
submitted,1722,17
fail,1723,17
heir,1724,17
tells,1725,17
principle,1726,17
explain,1727,17
continuing,1728,17
recommendation,1729,17
judging,1730,17
difficult,1731,17
lover,1732,17
nerves,1733,17
preferred,1734,17
affairs,1735,17
deny,1736,17
noise,1737,17
distinguished,1738,17
uncomfortable,1739,17
introduction,1740,17
across,1741,17
softened,1742,17
fallen,1743,17
square,1744,17
"?""--",1745,17
offering,1746,17
throat,1747,17
coles,1748,17
foolish,1749,17
distinction,1750,17
cards,1751,17
widow,1752,17
connexions,1753,17
born,1754,17
later,1755,17
risk,1756,17
authority,1757,17
distressed,1758,17
discovery,1759,17
belonging,1760,17
openly,1761,17
afforded,1762,17
trusted,1763,17
absent,1764,17
wise,1765,17
evils,1766,17
arose,1767,17
water,1768,17
catching,1769,17
measure,1770,17
courage,1771,17
mama,1772,17
shocking,1773,17
civilities,1774,17
compared,1775,17
white,1776,17
middle,1777,17
strongly,1778,17
berkeley,1779,17
steps,1780,17
amazement,1781,17
vicarage,1782,17
increasing,1783,17
notions,1784,17
separation,1785,17
continually,1786,17
moreover,1787,17
foot,1788,17
dark,1789,17
unjust,1790,17
morton,1791,17
moving,1792,17
doubtful,1793,17
unfortunately,1794,17
carriages,1795,17
comfortably,1796,16
improve,1797,16
approve,1798,16
believing,1799,16
residence,1800,16
appears,1801,16
involved,1802,16
loves,1803,16
ford,1804,16
step,1805,16
preparation,1806,16
rising,1807,16
assurances,1808,16
